KD PERFORMANCE,,,,,,
Month,flash_date,product_name,SUM of Tiv,SUM of Quantity_Available,SUM of Quantity_Sold,STR
7,2024-07-01,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,Buy 4 Get 1 FREE: L-Men Protein Crunch BBQ Beef (20gr),132.000,15,2,"13,33%"
,,HiLo Active Chocolate 1000gr,2.755.000,30,19,"63,33%"
,,HiLo Active Vanilla 1000g - Susu Tinggi Kalsium Lebih Rendah Lemak,1.595.000,30,11,"36,67%"
,,HiLo School Chocolate 1000gr - Susu Tinggi Kalsium,2.370.000,15,15,"100,00%"
,,HiLo School Vanilla 1000g - Susu Tinggi Kalsium,1.896.000,10,12,"120,00%"
,,HiLo School Vanilla Vegiberi 200ml - Ready to Drink (4 Pcs),0,15,0,"0,00%"
,,HiLo Teen Chocolate 1000gr - Susu Tinggi Kalsium,3.240.000,20,20,"100,00%"
,,HiLo Teen Strawberry Milkshake 500gr - Susu Tinggi Kalsium,0,5,0,"0,00%"
,,HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,2.592.000,30,16,"53,33%"
,,HiLo Thai Tea 200ml (1 pc) - Ready to Drink,0,10,0,"0,00%"
,,NutriSari 4 Rasa Local Package (40 Sch),1.646.700,45,33,"73,33%"
,,Tropicana Slim Avocado Coffee (10 Sch) - Tanpa Gula Pasir,208.800,15,6,"40,00%"
,,Tropicana Slim Beras Merah Organik 1 KG  - Beras Merah Pulen,368.000,15,10,"66,67%"
,,Tropicana Slim Cafe Latte (10 sch) - Kopi Bebas Gula,457.500,15,15,"100,00%"
,,Tropicana Slim Classic (50 sch) - Pengganti Gula,425.000,15,10,"66,67%"
,,Tropicana Slim Classic Refill 500gr - Pengganti Gula,1.410.500,15,13,"86,67%"
,,Tropicana Slim Cookies Package 4 Varian (@5 Sch),488.000,45,5,"11,11%"
,,Tropicana Slim Extra Virgin Olive Oil 500ml,2.656.500,30,23,"76,67%"
,,Tropicana Slim Mayonnaise Roasted Sesame 200gr,390.000,15,15,"100,00%"
,,Tropicana Slim Mint Cocoa (10 Sch) - Minuman Cokelat Bebas Gula,564.000,45,15,"33,33%"
,,Tropicana Slim Oat Drink 190ml (4 pcs) - Ready to Drink,1.014.600,45,38,"84,44%"
,,Tropicana Slim Sirup Leci - Sirup Bebas Gula,100.500,45,3,"6,67%"
,,Tropicana Slim Topping Kental Manis - Sugar FREE,243.600,30,7,"23,33%"
,,Twin Pack - HiLo Teen Vanilla Caramel 1000 gram - Susu Tinggi Kalsium,2.254.000,30,7,"23,33%"
,,Twin Pack: L-Men Protein Bar Crunchy Chocolate 12 Sch (7g protein),4.901.000,30,29,"96,67%"
,,Twin Pack: Tropicana Slim Classic 50 Sch - Pengganti Gula,256.500,15,3,"20,00%"
,,Twin Pack: Tropicana Slim Extra Virgin Olive Oil 500ml,460.000,15,2,"13,33%"
,,Twin Pack: Tropicana Slim Hokkaido Cheese Cookies (5 Sch) - Sugar FREE,1.410.500,45,31,"68,89%"
,,Twin Pack: Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,3.432.000,30,26,"86,67%"
,2024-07-01 Total,,37.267.700,735,386,"52,52%"
,2024-07-02,24 Packs - Tropicana Slim Collagen Shot Peach Blossom 190ml (24pcs),0,15,0,"0,00%"
,,HiLo Active Chocolate 1000gr,747.000,5,5,"100,00%"
,,HiLo Gold Vanilla 500gr - Susu Tinggi Kalsium,918.500,45,11,"24,44%"
