Campaign,Date,Time Start,Time End,Price Group
KD,8 Agustus,0:00,7:59,Under 99k
KD,8 Agustus,0:00,7:59,Under 99k
KD,8 Agustus,8:00,12:00,Under 99k
KD,8 Agustus,8:00,12:00,Under 99k
KD,8 Agustus,12:00,16:00,Under 99k
KD,8 Agustus,12:00,16:00,Under 99k
KD,8 Agustus,16:00,23:59,Under 99k
KD,8 Agustus,16:00,23:59,Under 99k
KD,8 Agustus,16:00,23:59,Under 99k
KD,8 Agustus,16:00,23:59,Under 99k
KD DT,8 Agustus,0:00,8:00,Diskon 80%
KD DT,8 Agustus,0:00,8:00,Under 99k
KD DT,8 Agustus,0:00,8:00,Under 99k
KD DT,8 Agustus,0:00,8:00,Under 99k
KD DT,8 Agustus,0:00,8:00,Above 99k
KD DT,8 Agustus,0:00,8:00,Above 99k
KD DT,8 Agustus,8:00,12:00,Serba 8rb
KD DT,8 Agustus,8:00,12:00,Under 99k
KD DT,8 Agustus,8:00,12:00,Under 99k
KD DT,8 Agustus,8:00,12:00,Under 99k
KD DT,8 Agustus,8:00,12:00,Above 99k
KD DT,8 Agustus,8:00,12:00,Above 99k
KD DT,8 Agustus,12:00,16:00,Serba 8rb
KD DT,8 Agustus,12:00,16:00,Under 99k
KD DT,8 Agustus,12:00,16:00,Under 99k
KD DT,8 Agustus,12:00,16:00,Under 99k
KD DT,8 Agustus,12:00,16:00,Above 99k
KD DT,8 Agustus,16:00,23:59,Under 99k
DT Kilat,8 Agustus,8:00,11:59,Below 99k
DT Kilat,8 Agustus,8:00,11:59,Below 99k
DT Kilat,8 Agustus,8:00,11:59,Below 99k
DT Kilat,8 Agustus,8:00,11:59,Below 99k
DT Kilat,8 Agustus,8:00,11:59,Above 99K
DT Kilat,8 Agustus,8:00,11:59,Above 99K
DT Kilat,8 Agustus,8:00,11:59,Above 99K
DT Kilat,8 Agustus,12:00,15:59,Below 99k
DT Kilat,8 Agustus,12:00,15:59,Below 99k
DT Kilat,8 Agustus,12:00,15:59,Below 99k
DT Kilat,8 Agustus,12:00,15:59,Below 99k
DT Kilat,8 Agustus,12:00,15:59,Above 99K
DT Kilat,8 Agustus,12:00,15:59,Above 99K
DT Kilat,8 Agustus,12:00,15:59,Above 99K
DT Kilat,8 Agustus,16:00,23:59,Below 99k
DT Kilat,8 Agustus,16:00,23:59,Below 99k
DT Kilat,8 Agustus,16:00,23:59,Below 99k
DT Kilat,8 Agustus,16:00,23:59,Below 99k
DT Kilat,8 Agustus,16:00,23:59,Above 99K
DT Kilat,8 Agustus,16:00,23:59,Above 99K
DT Kilat,8 Agustus,16:00,23:59,Above 99K
