Nama Produk,Product ID,SKU,Status,Harga,Lokasi Gudang,Stok Tersedia,Stok Utama,Stok Diskon,Stok Campaign (Lainnya),Stok Campaign (Kejar Diskon),Stok Campaign (Kejar Diskon Spesial),Stok Campaign (Rilisan Spesial)
HiLo Thai Tea Refill 500gr - Powder Drink Tinggi Kalsium,3599148327,2101847360,1,62400,Jakarta Cakung,14,0,10,4,0,0,0
HiLo Thai Tea Refill 500gr - Powder Drink Tinggi Kalsium,3599148327,2101847360,1,62400,Surabaya Osowilangun,2,0,2,0,0,0,0
HiLo Thai Tea Refill 500gr - Powder Drink Tinggi Kalsium,3599148327,2101847360,1,62400,Medan Amplas,0,0,0,0,0,0,0
HiLo Thai Tea Refill 500gr - Powder Drink Tinggi Kalsium,3599148327,2101847360,1,62400,Bandung Nasution,0,0,0,0,0,0,0
HiLo Chocolate Avocado 200ml (24 pcs) - Ready to Drink Tinggi Kalsium,6167287691,2HH1407250P24,1,189600,Bandung Nasution,0,0,0,0,0,0,0
HiLo Chocolate Avocado 200ml (24 pcs) - Ready to Drink Tinggi Kalsium,6167287691,2HH1407250P24,1,189600,Jakarta Cakung,3,0,3,0,0,0,0
HiLo Chocolate Avocado 200ml (24 pcs) - Ready to Drink Tinggi Kalsium,6167287691,2HH1407250P24,1,189600,Surabaya Osowilangun,1,0,1,0,0,0,0
GIFT - YSB Hybrid Elixir Lip Optimizer Serum (5 gr)-Serum Bibir,13796408253,(G)71310069,1,95200,Jakarta Cakung,0,0,0,0,0,0,0
NutriSari Jeruk Maroko (40 Sch),627612802,1101983454,1,62000,Medan Amplas,0,0,0,0,0,0,0
NutriSari Jeruk Maroko (40 Sch),627612802,1101983454,1,62000,Bandung Nasution,14,0,14,0,0,0,0
NutriSari Jeruk Maroko (40 Sch),627612802,1101983454,1,62000,Surabaya Rungkut,0,0,0,0,0,0,0
NutriSari Jeruk Maroko (40 Sch),627612802,1101983454,1,62000,Jakarta Cakung,42,0,37,5,0,0,0
NutriSari Jeruk Maroko (40 Sch),627612802,1101983454,1,62000,Surabaya Osowilangun,21,0,21,0,0,0,0
L-Men Platinum Ketan Hitam 800gr - Suplemen Olahraga Tinggi Protein,1719789770,2305545288,3,439300,Surabaya Rungkut,0,0,0,0,0,0,0
L-Men Platinum Ketan Hitam 800gr - Suplemen Olahraga Tinggi Protein,1719789770,2305545288,3,439300,Jakarta Cakung,1,1,0,0,0,0,0
L-Men Platinum Ketan Hitam 800gr - Suplemen Olahraga Tinggi Protein,1719789770,2305545288,3,439300,Surabaya Osowilangun,0,0,0,0,0,0,0
L-Men Platinum Ketan Hitam 800gr - Suplemen Olahraga Tinggi Protein,1719789770,2305545288,3,439300,Medan Amplas,0,0,0,0,0,0,0
L-Men Platinum Ketan Hitam 800gr - Suplemen Olahraga Tinggi Protein,1719789770,2305545288,3,439300,Bandung Nasution,0,0,0,0,0,0,0
HADIAH - Tropicana Slim Hokkaido Cheese Cookies (5 Sch),12277768805,(B)2104523105,3,26800,Jakarta Cakung,0,0,0,0,0,0,0
Tropicana Slim Sweetener Lemongrass Pandan (50 Sch),1614763716,2102526125,1,52800,Jakarta Cakung,19,0,19,0,0,0,0
Tropicana Slim Sweetener Lemongrass Pandan (50 Sch),1614763716,2102526125,1,52800,Surabaya Osowilangun,23,0,23,0,0,0,0
Tropicana Slim Sweetener Lemongrass Pandan (50 Sch),1614763716,2102526125,1,52800,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Sweetener Lemongrass Pandan (50 Sch),1614763716,2102526125,1,52800,Bandung Nasution,7,0,7,0,0,0,0
Tropicana Slim Sweetener Lemongrass Pandan (50 Sch),1614763716,2102526125,1,52800,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo MIlky Vanilla Cookies 200ml (4 Pcs) - Ready to Drink,5452376916,2101816250P4,1,34400,Jakarta Cakung,0,0,0,0,0,0,0
HiLo MIlky Vanilla Cookies 200ml (4 Pcs) - Ready to Drink,5452376916,2101816250P4,1,34400,Surabaya Osowilangun,0,0,0,0,0,0,0
HiLo MIlky Vanilla Cookies 200ml (4 Pcs) - Ready to Drink,5452376916,2101816250P4,1,34400,Medan Amplas,0,0,0,0,0,0,0
HiLo MIlky Vanilla Cookies 200ml (4 Pcs) - Ready to Drink,5452376916,2101816250P4,1,34400,Bandung Nasution,0,0,0,0,0,0,0
Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,1994091682,2106386249P24,1,240000,Surabaya Rungkut,0,0,0,0,0,0,0
Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,1994091682,2106386249P24,1,240000,Jakarta Cakung,50,0,43,7,0,0,0
Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,1994091682,2106386249P24,1,240000,Surabaya Osowilangun,2,0,2,0,0,0,0
Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,1994091682,2106386249P24,1,240000,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Oat Drink 190ml (24 pcs) - Ready to Drink,1994091682,2106386249P24,1,240000,Bandung Nasution,0,0,0,0,0,0,0
Tropicana Slim Sweetener Gula Aren (50 Sch),6539815731,2T01812126,1,52800,Bandung Nasution,9,0,9,0,0,0,0
Tropicana Slim Sweetener Gula Aren (50 Sch),6539815731,2T01812126,1,52800,Jakarta Cakung,202,0,155,47,0,0,0
Tropicana Slim Sweetener Gula Aren (50 Sch),6539815731,2T01812126,1,52800,Surabaya Osowilangun,22,0,22,0,0,0,0
Tropicana Slim Sweetener Gula Aren (50 Sch),6539815731,2T01812126,1,52800,Medan Amplas,0,0,0,0,0,0,0
24 Packs - L-Men UHT Plant Protein 2GO Ogura (Kacang Merah) 190ml ,8327506139,2LL1402249P24,1,357600,Jakarta Cakung,15,0,11,4,0,0,0
