Nama Produk,Produk ID,Harga tokped,Lokasi Gudang,Stok Tersedia,Stok Utama,Stok Diskon,Stok Campaign (Lainnya),Stok Campaign (Kejar Diskon),Stok Campaign (Kejar Diskon Spesial),Stok Campaign (Rilisan Spesial)
Tropicana Slim Extra Virgin Olive Oil 500ml,988122092,177000,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Extra Virgin Olive Oil 500ml,988122092,177000,Bandung Nasution,28,0,28,0,0,0,0
Tropicana Slim Extra Virgin Olive Oil 500ml,988122092,177000,Surabaya Rungkut,0,0,0,0,0,0,0
Tropicana Slim Extra Virgin Olive Oil 500ml,988122092,177000,Jakarta Cakung,282,0,282,0,0,0,0
Tropicana Slim Extra Virgin Olive Oil 500ml,988122092,177000,Surabaya Osowilangun,32,0,22,10,0,0,0
HiLo Es Teler (10 Sch),1613870892,18900,Medan Amplas,0,0,0,0,0,0,0
HiLo Es Teler (10 Sch),1613870892,18900,Bandung Nasution,0,0,0,0,0,0,0
HiLo Es Teler (10 Sch),1613870892,18900,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Es Teler (10 Sch),1613870892,18900,Jakarta Cakung,0,0,0,0,0,0,0
HiLo Es Teler (10 Sch),1613870892,18900,Surabaya Osowilangun,0,0,0,0,0,0,0
HADIAH  - Tropicana Slim Classic (50 sch) ,12277773708,48800,Jakarta Cakung,0,0,0,0,0,0,0
24 Pcs Lokalate Kopi Berondong (Popcorn Latte) 185ml - Kopi Less Sugar,12385313388,204000,Surabaya Osowilangun,0,0,0,0,0,0,0
24 Pcs Lokalate Kopi Berondong (Popcorn Latte) 185ml - Kopi Less Sugar,12385313388,204000,Bandung Nasution,0,0,0,0,0,0,0
24 Pcs Lokalate Kopi Berondong (Popcorn Latte) 185ml - Kopi Less Sugar,12385313388,204000,Jakarta Cakung,0,0,0,0,0,0,0
Paket Less Sugar - NutriSari Jeruk Bali 40 Sachet & NutriSari Belimbing 40 Sachet,14031893115,124000,Jakarta Cakung,3,0,3,0,0,0,0
Paket Less Sugar - NutriSari Jeruk Bali 40 Sachet & NutriSari Belimbing 40 Sachet,14031893115,124000,Surabaya Osowilangun,6,0,6,0,0,0,0
Tropicana Slim Skim Milk Chocolate 500gr - Susu Turunkan Kolesterol,22346389,145900,Surabaya Rungkut,0,0,0,0,0,0,0
Tropicana Slim Skim Milk Chocolate 500gr - Susu Turunkan Kolesterol,22346389,145900,Jakarta Cakung,59,0,59,0,0,0,0
Tropicana Slim Skim Milk Chocolate 500gr - Susu Turunkan Kolesterol,22346389,145900,Surabaya Osowilangun,9,0,0,9,0,0,0
Tropicana Slim Skim Milk Chocolate 500gr - Susu Turunkan Kolesterol,22346389,145900,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Skim Milk Chocolate 500gr - Susu Turunkan Kolesterol,22346389,145900,Bandung Nasution,18,0,18,0,0,0,0
Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,22346632,57500,Surabaya Rungkut,0,0,0,0,0,0,0
Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,22346632,57500,Jakarta Cakung,138,0,128,10,0,0,0
Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,22346632,57500,Surabaya Osowilangun,16,0,16,0,0,0,0
Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,22346632,57500,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Nutty Chocolate Cookies 200gr - Snack Bebas Gula,22346632,57500,Bandung Nasution,26,0,26,0,0,0,0
Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,323365298,107700,Surabaya Rungkut,0,0,0,0,0,0,0
Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,323365298,107700,Jakarta Cakung,166,0,166,0,0,0,0
Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,323365298,107700,Surabaya Osowilangun,46,0,46,0,0,0,0
Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,323365298,107700,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Minyak Kanola 946ml - Pure Canola Oil,323365298,107700,Bandung Nasution,2,0,2,0,0,0,0
HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,502942041,130000,Surabaya Osowilangun,32,0,32,0,0,0,0
HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,502942041,130000,Medan Amplas,0,0,0,0,0,0,0
HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,502942041,130000,Bandung Nasution,23,0,23,0,0,0,0
HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,502942041,130000,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo Platinum Swiss Chocolate (12 Sachet) - Susu Tinggi Kalsium,502942041,130000,Jakarta Cakung,159,0,159,0,0,0,0
Tropicana Slim French Butter Souffle Coffee (4 Sch) - Tanpa Gula Pasir,7418718800,24100,Jakarta Cakung,0,0,0,0,0,0,0
Tropicana Slim French Butter Souffle Coffee (4 Sch) - Tanpa Gula Pasir,7418718800,24100,Surabaya Osowilangun,0,0,0,0,0,0,0
Tropicana Slim French Butter Souffle Coffee (4 Sch) - Tanpa Gula Pasir,7418718800,24100,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim French Butter Souffle Coffee (4 Sch) - Tanpa Gula Pasir,7418718800,24100,Bandung Nasution,0,0,0,0,0,0,0
HiLo School Honey 500gr - Susu Tinggi Kalsium,502388672,103500,Surabaya Rungkut,0,0,0,0,0,0,0
HiLo School Honey 500gr - Susu Tinggi Kalsium,502388672,103500,Jakarta Cakung,20,20,0,0,0,0,0
HiLo School Honey 500gr - Susu Tinggi Kalsium,502388672,103500,Surabaya Osowilangun,8,8,0,0,0,0,0
HiLo School Honey 500gr - Susu Tinggi Kalsium,502388672,103500,Medan Amplas,0,0,0,0,0,0,0
HiLo School Honey 500gr - Susu Tinggi Kalsium,502388672,103500,Bandung Nasution,3,3,0,0,0,0,0
Tropicana Slim Sweetener Diabtx (50 Sch) & Avocado Coffee (4 Sch),1771606405,79500,Medan Amplas,0,0,0,0,0,0,0
