Produk ID,Harga Tematik,Harga FS (Bottom)
12803679101,44.000,42.100
5210459,53.800,52.800
502943622,80.600,78.500
326242917,80.600,78.500
2372423863,79.900,78.500
394452131,112.900,110.000
1335244547,148.500,145.000
3552582960,148.500,145.000
9388257630,160.800,157.700
9388268244,160.800,157.700
2621575892,154.000,151.000
6174446505,222.300,218.000
1335250936,294.300,288.600
3742075599,294.300,288.600
482091872,22.800,22.400
4204848172,49.900,49.000
4204857762,49.900,49.000
1130920711,99.500,98.500
1130976746,99.500,98.500
1247421973,149.400,146.600
1247420946,149.400,146.600
13651752980,27.900,27.900
13651844269,55.800,55.800
6827609764,36.700,36.000
6994235004,72.900,71.500
11273958650,108.900,107.000
6889171906,87.200,85.500
7152717301,41.700,41.700
490166602,87.200,85.500
502389581,87.200,85.500
502388672,87.200,85.500
2745998619,87.200,85.500
2506621799,87.200,85.500
2120377878,87.200,85.500
502399428,125.400,123.000
326232858,125.400,123.000
1238895908,161.100,158.000
3552568800,161.100,158.000
7419219499,103.400,103.400
6889182884,173.300,170.000
618149441,173.300,170.000
9388295839,173.300,170.000
3735578231,173.300,170.000
9388284356,173.300,170.000
3735723906,173.300,170.000
3735591204,173.300,170.000
576512364,249.800,245.000
9388315367,249.800,245.000
1238898218,321.200,315.000
3742032262,321.200,315.000
7215512339,175.000,158.500
7215499453,175.000,158.500
22337865,46.700,45.800
7167392868,89.700,88.000
10137198051,89.700,88.000
11892885856,88.700,88.000
11892934954,179.400,176.000
502361883,89.700,88.000
652328011,89.700,88.000
1674041019,89.700,88.000
1922584414,89.700,88.000
3100763822,89.700,88.000
2217369567,89.700,88.000
502363712,130.500,128.000
502365084,130.500,128.000
1335266313,168.900,165.000
12371521580,168.900,165.000
12456255984,332.400,326.000
9385505961,179.400,176.000
10137344178,179.400,176.000
1045780970,179.400,176.000
1447476105,179.400,176.000
2165265431,179.400,176.000
1922600976,179.400,176.000
2253227667,179.400,176.000
1138851903,259.000,254.000
1335279658,332.400,326.000
4392415578,168.400,162.800
2453081681,179.400,176.000
2455571126,179.400,176.000
7407456726,177.900,162.800
7408333531,177.900,162.800
502251561,88.800,86.600
502250178,88.800,86.600
502252248,88.800,86.600
502245667,128.800,125.800
502249396,128.800,125.800
3552593279,158.500,155.500
1238899923,158.500,155.500
1130728599,169.700,166.500
618145054,246.800,242.000
6174507920,246.800,242.000
3742065184,316.100,310.000
1238901371,316.100,310.000
4087231771,799.200,799.200
4087256373,879.200,879.120
4076153105,899.100,899.100
4087213633,932.400,932.400
8300687898,33.400,33.400
8300880938,65.800,65.800
5452104939,120.400,117.700
502942041,106.600,102.500
10136917481,135.800,132.700
644855001,212.100,204.000
10137015136,259.000,265.400
10472618336,1.510.000,1.510.000
7579548360,199.000,202.400
7579455247,196.300,174.600
7579179664,169.000,173.500
7579410939,174.000,178.900
2016822871,38.000,37.200
4528355935,47.700,46.700
3599148327,50.900,50.000
2705535553,53.200,52.200
2705606724,45.300,44.400
10832163263,13.100,12.900
10832269776,26.100,25.600
8574837657,18.400,18.000
8574800291,36.000,32.200
12847999504,14.500,32.200
625890883,14.400,14.100
1613867657,18.200,17.800
1613870892,16.600,16.300
1626916748,35.500,35.500
1626912531,33.400,32.200
516002023,19.800,19.500
518900131,18.400,18.000
12348968291,16.600,16.300
12349005665,32.800,32.200
3311906834,81.000,84.100
3097075376,46.600,46.600
502385810,69.000,67.700
5452376916,30.400,29.900
6126201814,182.000,178.500
1734284852,29.700,29.200
5846922611,29.700,29.200
1734287863,29.700,29.200
1734291366,29.700,29.200
1734290474,29.700,29.200
12287398466,49.900,49.000
502283367,176.400,171.000
5846992074,176.400,171.000
1551068729,176.400,171.000
502284356,176.400,171.000
1551074102,176.400,171.000
12287419839,299.000,293.300
6167264220,26.300,25.800
1897417607,26.300,25.800
1897411323,26.300,25.800
1897427174,26.300,25.800
6167287691,154.900,151.900
625870760,154.900,151.900
1551085108,148.000,146.600
964072867,154.900,151.900
746407649,154.900,151.900
9388274597,169.700,166.500
2119575738,74.000,74.000
,,
502161925,45.900,44.900
164063052,87.300,85.000
590919929,173.500,169.500
502167488,48.200,47.200
526977295,89.700,87.400
590918314,178.400,174.300
502899637,110.600,108.500
502147293,62.700,61.500
11589651117,81.000,80.900
403763419,124.400,122.000
7516348562,56.600,55.300
11271465085,46.400,45.300
11271635939,92.800,90.600
501961067,45.900,45.000
1376804416,45.900,45.000
1798123274,45.900,45.000
6539815731,45.900,45.000
1416858326,27.000,26.500
333439740,27.100,26.600
522027314,34.200,33.500
342176101,34.200,33.500
272309519,34.200,33.500
10887480385,167.300,108.300
10701172990,199.000,199.000
12848227475,340.200,337.200
11083290177,346.500,315.000
9321210365,184.000,181.000
9321837082,365.000,360.000
12691494622,33.900,33.200
12691476095,203.000,198.900
12971043093,213.700,213.700
502182312,35.100,33.900
602992284,104.000,101.000
502188698,20.900,20.400
3869684911,61.100,60.000
533101319,35.500,34.800
810905115,73.600,71.600
394496123,69.900,68.100
332290785,30.700,29.500
1693813890,60.800,58.500
10778952346,85.700,84.900
1133086802,26.500,26.000
1457705910,54.900,53.800
1717086366,33.900,33.300
2761721642,67.200,65.900
