Produk ID,Original Price,Slash Price (average daily L30D),Recommended Price,Recommended Stock each Weekend (3 Days)
1637458572,115.100,95.500,95.500,10
3552582960,205.000,0,202.950,23
502188698,26.700,0,26.433,26
22346632,57.500,0,56.925,26
1994095988,40.000,34.300,34.300,16
590865803,291.800,238.000,238.000,10
502182312,57.700,0,57.123,108
7167392868,103.500,90.700,90.700,10
12970395326,738.000,559.000,559.000,10
4204857762,61.900,50.500,50.500,10
6827609764,47.300,37.100,37.100,14
326232858,149.500,126.700,126.700,10
2217369567,103.500,90.700,90.700,10
992993410,199.600,169.500,169.500,10
9337693122,120.000,0,118.800,10
502251561,95.000,86.100,86.100,10
775619113,99.800,91.700,91.700,24
8327506139,357.600,328.000,328.000,10
10137015136,303.000,261.700,261.700,10
12456255984,384.000,0,380.160,10
13626411262,248.000,0,245.520,10
13685235730,115.400,64.000,64.000,16
502249396,138.000,125.200,125.200,10
1077080498,103.700,86.900,86.900,10
1549694294,151.800,0,150.282,10
9522160164,1.257.000,999.000,999.000,10
7693872882,367.600,300.000,300.000,10
13831173830,38.100,0,37.719,10
2745998619,103.500,88.100,88.100,10
1247420946,185.700,0,183.843,10
502388672,103.500,88.100,88.100,10
13831179533,26.900,0,26.631,10
1412488691,62.000,52.000,52.000,10
3742075599,410.000,297.300,297.300,10
1994091682,240.000,200.400,200.400,10
9335573190,7.900,0,7.821,10
12804913080,79.000,0,78.210,10
4826948824,62.000,52.000,52.000,16
6874309844,80.100,57.500,57.500,10
1416858326,31.000,27.300,27.300,10
502899637,128.600,0,127.314,25
318893567,146.000,87.100,87.100,19
1238899923,174.000,0,172.260,20
7963450079,47.100,43.700,43.700,11
13635308229,103.500,42.000,42.000,13
7107949171,99.800,0,98.802,34
516002023,22.900,20.100,20.100,16
12348968291,18.900,0,18.711,30
518900131,18.900,0,18.711,31
10701152882,40.000,34.300,34.300,12
602989618,878.600,720.000,720.000,10
12114040584,453.000,329.000,329.000,10
13604328827,249.000,169.200,169.200,12
11273958650,141.900,110.000,110.000,10
1238895908,192.000,0,190.080,54
2506621799,103.500,88.100,88.100,10
502283367,206.400,0,204.336,13
10778684035,299.400,226.400,226.400,10
6811404417,8.600,0,8.514,10
2364675667,86.400,75.200,75.200,10
502943622,124.900,81.400,81.400,10
3764753914,57.700,19.500,19.500,10
1734291366,34.400,0,34.056,22
10778450969,299.400,266.400,266.400,10
1551074102,206.400,178.200,178.200,10
5625439238,291.800,238.000,238.000,10
752963400,26.700,0,26.433,34
590919929,189.600,165.900,165.900,10
6811448424,8.600,0,8.514,10
7259215053,419.000,0,414.810,10
9445539433,266.000,228.000,228.000,10
490166602,103.500,88.100,88.100,10
1457705910,71.000,55.500,55.500,10
6174446505,324.000,224.600,224.600,10
9321210365,238.000,0,235.620,14
6704882046,25.000,18.400,18.400,64
644615794,62.000,50.900,50.900,10
502252248,95.000,0,94.050,23
11892885856,103.500,89.600,89.600,10
1335250936,410.000,297.300,297.300,10
2985518827,47.100,38.500,38.500,14
501961067,52.800,46.400,46.400,10
4826933239,62.000,52.000,52.000,12
1375656977,62.000,0,61.380,12
533101319,40.500,0,40.095,36
2755962534,115.200,97.600,97.600,18
12385304648,31.600,26.500,26.500,10
323365298,107.700,0,106.623,32
1734287863,34.400,30.100,30.100,10
1053667417,268.000,257.000,257.000,10
3022840849,183.800,150.900,150.900,10
22337865,55.000,47.200,47.200,11
13590401226,498.000,338.000,338.000,35
5445160826,351.800,216.000,216.000,10
3552568800,192.000,0,190.080,32
12691494622,41.935,0,41.516,56
1416452599,62.000,52.000,52.000,10
333439740,31.000,27.400,27.400,12
1590051247,86.400,75.200,75.200,10
326242917,124.900,81.400,81.400,10
992888348,199.600,155.100,155.100,10
1412487133,62.000,52.000,52.000,10
22346389,145.900,0,144.441,10
12963577801,111.300,33.500,33.500,96
324731608,145.900,0,144.441,10
671029366,86.300,75.200,75.200,10
255810306,99.800,78.300,78.300,19
332290785,39.500,0,39.105,47
1076655206,250.000,236.900,236.900,10
4292387590,115.400,38.800,38.800,10
1734284852,34.400,30.100,30.100,16
13017022348,0,0,503,10
6811105020,14.900,0,14.751,10
1547221349,439.300,325.000,325.000,10
7264188650,59.600,52.500,52.500,10
1053561784,134.000,129.300,129.300,10
7320454822,552.000,445.000,445.000,10
4204848172,61.900,0,61.281,13
3735723906,207.000,175.100,175.100,10
1238898218,384.000,324.500,324.500,10
10137344178,207.000,162.000,162.000,10
1897417607,31.600,26.600,26.600,10
22346247,145.900,119.500,119.500,17
11892934954,207.000,162.000,162.000,10
10137198051,103.500,90.700,90.700,10
1130247749,162.400,131.000,131.000,10
6541427667,31.500,26.300,26.300,21
2200488234,86.400,75.200,75.200,10
6811240153,8.600,0,8.514,10
12783626238,210.000,0,207.900,22
9385505961,207.000,181.300,181.300,10
6811191149,8.600,0,8.514,10
652277609,62.000,52.000,52.000,16
522027314,39.500,0,39.105,11
394452131,162.000,0,160.380,10
